ai_050_003/cam_04 0000 0001 0002 0003 0004 0005 0006 0007
ai_017_002/cam_00 0048 0050 0052 0053 0054 0055 0056 0057
ai_042_003/cam_00 0021 0023 0025 0026 0027 0028 0029 0030
ai_018_006/cam_00 0033 0034 0035 0036 0038 0044 0045 0046
ai_050_004/cam_01 0057 0059 0060 0061 0062 0063 0064 0065
ai_045_001/cam_03 0006 0008 0010 0012 0013 0014 0015 0016
ai_034_001/cam_02 0003 0005 0007 0008 0009 0010 0011 0012
ai_051_003/cam_00 0063 0065 0067 0068 0069 0070 0071 0072
ai_050_001/cam_03 0004 0005 0006 0007 0008 0009 0010 0011
ai_027_009/cam_01 0027 0028 0030 0032 0034 0035 0036 0037
ai_044_010/cam_03 0016 0018 0020 0021 0022 0023 0024 0025
ai_050_001/cam_04 0057 0059 0061 0063 0065 0066 0067 0068
ai_048_006/cam_00 0018 0022 0023 0024 0025 0026 0027 0028
ai_027_003/cam_01 0085 0087 0088 0090 0092 0093 0094 0095
ai_034_005/cam_01 0066 0068 0070 0072 0074 0075 0076 0077
ai_007_005/cam_00 0069 0070 0072 0089 0090 0091 0092 0093
ai_013_007/cam_00 0047 0049 0051 0052 0053 0054 0055 0073
ai_007_010/cam_01 0083 0077 0074 0072 0071 0069 0056 0050
ai_050_005/cam_00 0054 0056 0058 0060 0061 0062 0063 0064
ai_046_002/cam_00 0075 0077 0080 0082 0083 0084 0085 0086
ai_008_010/cam_00 0084 0086 0087 0088 0089 0090 0091 0092
ai_010_009/cam_01 0016 0019 0020 0021 0022 0023 0024 0025
ai_019_004/cam_00 0078 0079 0081 0084 0085 0086 0087 0088
ai_036_003/cam_01 0057 0060 0062 0063 0064 0065 0066 0067
ai_029_001/cam_01 0065 0067 0070 0071 0072 0074 0075 0076
ai_007_010/cam_00 0004 0006 0008 0009 0010 0011 0012 0013
ai_050_003/cam_03 0056 0074 0076 0077 0079 0082 0085 0088
ai_048_009/cam_00 0084 0087 0089 0091 0093 0094 0095 0096
ai_003_005/cam_01 0064 0065 0066 0067 0068 0069 0070 0071
ai_021_009/cam_01 0018 0020 0021 0022 0023 0024 0025 0026
ai_004_008/cam_00 0012 0013 0016 0018 0019 0020 0021 0022
ai_018_009/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_005_008/cam_00 0081 0083 0085 0087 0088 0089 0090 0091
ai_050_004/cam_02 0031 0033 0035 0037 0038 0039 0040 0041
ai_055_006/cam_01 0009 0011 0013 0015 0018 0019 0020 0021
ai_026_019/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_027_010/cam_02 0045 0047 0049 0050 0051 0052 0053 0054
ai_045_001/cam_00 0072 0074 0075 0076 0077 0078 0079 0080
ai_006_010/cam_02 0081 0083 0085 0087 0089 0090 0091 0092
ai_041_005/cam_01 0000 0001 0002 0003 0004 0005 0006 0007
ai_027_007/cam_02 0078 0080 0082 0084 0086 0087 0088 0089
ai_009_002/cam_00 0027 0029 0036 0037 0038 0039 0040 0041
ai_037_005/cam_00 0045 0047 0048 0049 0050 0051 0052 0053
ai_031_001/cam_00 0045 0047 0049 0051 0052 0053 0054 0055
ai_035_010/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_050_005/cam_03 0017 0020 0023 0070 0073 0076 0082 0085
ai_008_001/cam_01 0074 0076 0078 0080 0082 0083 0084 0087
ai_016_006/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_032_003/cam_00 0042 0043 0044 0045 0046 0047 0048 0049
ai_023_010/cam_01 0001 0037 0040 0092 0094 0096 0097 0098
ai_001_006/cam_00 0064 0066 0068 0070 0071 0072 0073 0074
ai_001_005/cam_00 0099 0098 0097 0096 0094 0091 0090 0001
ai_013_002/cam_01 0003 0005 0012 0018 0020 0021 0023 0026
ai_010_009/cam_00 0057 0060 0062 0064 0066 0067 0068 0069
ai_003_008/cam_00 0078 0079 0080 0082 0085 0087 0088 0089
ai_001_002/cam_02 0018 0020 0021 0022 0023 0024 0025 0026
ai_021_010/cam_00 0095 0090 0082 0056 0040 0037 0034 0032
ai_041_005/cam_00 0003 0005 0014 0015 0016 0017 0018 0019
ai_008_001/cam_02 0018 0020 0033 0035 0036 0038 0042 0044
ai_029_002/cam_02 0009 0011 0013 0018 0019 0020 0021 0022
ai_003_001/cam_01 0018 0019 0021 0022 0023 0024 0025 0026
ai_053_018/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_041_005/cam_00 0039 0040 0042 0045 0046 0047 0048 0049
ai_017_004/cam_00 0042 0052 0053 0054 0055 0056 0057 0058
ai_028_004/cam_00 0039 0040 0064 0065 0066 0067 0068 0069
ai_011_009/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_027_009/cam_02 0074 0073 0072 0071 0023 0021 0020 0002
ai_048_005/cam_01 0031 0034 0036 0037 0038 0039 0040 0041
ai_050_005/cam_06 0002 0004 0014 0016 0017 0019 0022 0028
ai_001_002/cam_00 0030 0032 0034 0035 0036 0037 0038 0039
ai_050_001/cam_03 0025 0026 0028 0030 0032 0033 0034 0035
ai_035_002/cam_00 0036 0037 0039 0048 0049 0050 0051 0052
ai_014_003/cam_00 0018 0020 0022 0023 0024 0025 0026 0027
ai_003_002/cam_01 0075 0077 0078 0080 0082 0084 0085 0086
ai_050_005/cam_01 0000 0001 0002 0003 0004 0005 0006 0007
ai_026_019/cam_01 0036 0038 0040 0042 0043 0044 0045 0046
ai_021_010/cam_00 0003 0048 0049 0050 0051 0052 0053 0054
ai_010_009/cam_00 0092 0088 0049 0041 0034 0028 0004 0002
ai_003_008/cam_01 0003 0005 0008 0009 0011 0023 0053 0055
ai_054_009/cam_00 0090 0092 0093 0094 0095 0096 0097 0098
ai_053_020/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_021_003/cam_00 0060 0062 0064 0066 0068 0069 0070 0071
